timestamp,station_id,station_name,lat,lon,pm10,pm25,so2,no2,co,o3,wind_speed,wind_dir
2026-02-22 03:00:00,85142ffb-5e36-4ac9-a023-59e20533546a,İzmir - Ödemiş,38.22593958004211,27.97084577611242,42.21,,11.98,,1158.69,10.1,3.9,34
2026-02-22 03:00:00,4f00873d-af5c-49bf-97ea-b495a29e4271,İzmir - Şirinyer İBB,38.3825,27.148333,11.0,,6.36,,,,3.1,135
2026-02-22 03:00:00,7fb1186a-c269-4b5a-898f-8215d6903920,İzmir - Torbalı,38.14546137637555,27.362751197915003,55.85,,12.29,12.99,949.11,59.75,3.2,180
2026-02-22 03:00:00,488a7170-05ff-4366-ba4b-a86d27d262e3,İzmir - Yenifoça,38.744728228074536,26.83168527962759,34.22,,,7.42,,48.6,1.1,180
2026-02-22 03:00:00,293b13f9-1e05-458d-ab2c-b4eb48a6ffa0,İzmir Güzelbahçe İBB,38.373452571866125,26.889141274770616,,,1.82,8.52,1888.73,,5.4,180
2026-02-22 03:00:00,0a52d5f6-eb80-42ea-99d0-7233f7773538,İzmir-Kemalpaşa,38.43075914219804,27.41269212008114,11.79,,28.9,73.74,2678.28,21.36,7.0,249
2026-02-22 04:00:00,6645d178-7d3c-4aa7-a2e7-7e2008852821,EMEP - İzmir Seferihisar,38.230415613203235,26.834094052151066,,,5.58,9.41,,45.51,2.4,117
2026-02-22 04:00:00,6dbac7ff-1177-4de5-8684-a1590a696ba2,İzmir - Aliağa,38.79504084645444,26.963527213632442,,,6.2,20.05,346.46,28.82,2.1,149
2026-02-22 04:00:00,bc9c0cbe-eb38-46bd-a1da-535ba40d728b,İzmir - Aliağa - Bozköy,38.72442611850872,26.95908677041963,39.06,,5.67,4.15,565.59,29.94,3.2,153
2026-02-22 04:00:00,fcb6d9b7-11f6-428d-b251-35fc5d89195f,İzmir - Alsancak İBB,38.432222,27.144444,,,3.73,,,,1.8,101
2026-02-22 04:00:00,ca22007c-ffb4-40a3-adf4-2fb3ae5bf716,İzmir - Bayraklı İBB,38.462222,27.166667,23.0,,9.48,,,,1.8,101
2026-02-22 04:00:00,900c4af1-d77f-4b50-b1c1-7febc6d9c31d,İzmir - Bergama İBB,39.111204124660446,27.191391886630708,,,,,,,4.8,63
2026-02-22 04:00:00,00b1dcdb-702d-459b-8399-30548d8164ec,İzmir - Bornova,38.45461891681077,27.23111280466093,,33.67,,27.57,,13.46,3.1,144
2026-02-22 04:00:00,5095a053-4859-498f-88e9-bae31c596f7f,İzmir - Bornova İBB,38.469167,27.221389,32.0,,4.77,48.0,2139.63,,1.8,101
2026-02-22 04:00:00,45ee5bb3-7719-49b5-8889-6821e150ab60,İzmir - Çeşme,38.2790834780628,26.234103595129966,7.9,,,4.01,,65.56,7.1,336
2026-02-22 04:00:00,9edcc21d-67b8-45c4-ace2-a045b6e171cf,İzmir - Çiğli İBB,38.498056,27.067778,,,,,,,3.6,84
2026-02-22 04:00:00,376cfe9f-0a11-4483-8f49-c8f444bee984,İzmir - Eğitim İstasyonu,38.422165259929585,27.19976449638273,33.86,,3.77,53.11,1743.17,2.4,1.8,101
2026-02-22 04:00:00,e19afdb5-37a4-48d6-b13b-a04793312030,İzmir - Gaziemir,38.316893436729174,27.136239539610767,,,12.35,,,,3.5,156
2026-02-22 04:00:00,332d897b-81d5-427c-a278-6b9b841da3d5,İzmir - Güzelyalı İBB,38.395833,27.082778,23.0,,11.78,8.7,507.03,,4.2,160
2026-02-22 04:00:00,1f4e258c-2212-46b0-a3db-f97182b57737,İzmir - Karabağlar,38.384056105790336,27.106633183724778,16.18,,5.72,,636.97,38.64,4.0,153
2026-02-22 04:00:00,f85eedd5-224b-45e9-88fd-757fe4c0a72e,İzmir - Karaburun,38.58492,26.56373,,,,3.8,,65.15,3.9,304
2026-02-22 04:00:00,062c071b-d2cf-4315-a6bc-e7a81b99b9a2,İzmir - Karşıyaka,38.46074916731462,27.114558229177113,52.17,,,123.26,135.79,,3.6,84
2026-02-22 04:00:00,1eb466d5-8d74-495e-8b22-637febcdc5c2,İzmir - Karşıyaka İBB,38.454167,27.109722,14.53,,11.4,,,,3.6,84
2026-02-22 04:00:00,862bd2b3-3434-4a69-8b7a-1b9dccdec63c,İzmir - Konak,38.42389255025236,27.140729790282446,,30.78,,79.95,503.92,,1.8,101
2026-02-22 04:00:00,785688ab-6414-43cd-9b25-1491e0c49ec7,İzmir - Menemen,38.6102364226783,27.0776208058745,39.54,,3.64,26.44,758.86,5.72,2.2,81
2026-02-22 04:00:00,85142ffb-5e36-4ac9-a023-59e20533546a,İzmir - Ödemiş,38.22593958004211,27.97084577611242,32.11,,11.41,,1039.87,13.26,3.8,41
2026-02-22 04:00:00,4f00873d-af5c-49bf-97ea-b495a29e4271,İzmir - Şirinyer İBB,38.3825,27.148333,7.0,,5.84,,,,4.0,153
2026-02-22 04:00:00,7fb1186a-c269-4b5a-898f-8215d6903920,İzmir - Torbalı,38.14546137637555,27.362751197915003,17.03,,11.59,9.9,981.3,60.59,2.7,157
2026-02-22 04:00:00,488a7170-05ff-4366-ba4b-a86d27d262e3,İzmir - Yenifoça,38.744728228074536,26.83168527962759,45.94,,,10.95,,46.16,1.3,146
2026-02-22 04:00:00,293b13f9-1e05-458d-ab2c-b4eb48a6ffa0,İzmir Güzelbahçe İBB,38.373452571866125,26.889141274770616,,,1.76,10.83,1978.75,,4.3,175
2026-02-22 04:00:00,0a52d5f6-eb80-42ea-99d0-7233f7773538,İzmir-Kemalpaşa,38.43075914219804,27.41269212008114,11.02,,34.55,112.76,2532.38,14.19,5.7,252
2026-02-22 05:00:00,6645d178-7d3c-4aa7-a2e7-7e2008852821,EMEP - İzmir Seferihisar,38.230415613203235,26.834094052151066,,,5.39,7.89,,51.1,2.6,74
2026-02-22 05:00:00,6dbac7ff-1177-4de5-8684-a1590a696ba2,İzmir - Aliağa,38.79504084645444,26.963527213632442,,,6.42,19.67,372.51,25.35,2.3,129
